	Country	Year	CountryShort	Nr. of coordinated projects	Budget of coordinated projects	Total nr. of projects	Nr. of projects as participant	GDP	Population	% pop. that study up to secondary education	% pop. with a secondary or tertiary education	% pop. with have a secondary education	% pop. with a tertiary education	R&D Budget	R&D Budget of enterprise	R&D Budget of government	R&D Budget of high education	R&D Budget of non-profit organisation	GDP / capita	Budget of coordinated projects / capita	Nr. of coordinated projects - Cumulative	Budget of coordinated projects - Cumulative	Total nr. of projects - Cumulative	Nr. of projects as participant - Cumulative	Budget of coordinated projects / capita - Cumulative
138	France	2013	FR	436	1040282426.7	2301	1865	2115256000000	65600350	28	72	43.1	28.9	47480452000	30708072000	6185179000	9889096000	698105000	32244.5840609082	15.8578792140591	3654	12681887604.31	20192	16538	198.737140605014
139	France	2014	FR	319	576850329.21	1002	683	2139964000000	65889148	26.5	73.5	43.7	29.7	47918737000	31132941000	6163090000	9883805000	738901000	32478.2466454112	8.75486095540346	3973	13258737933.52	21194	17221	207.492001560418
140	France	2015	FR	475	1198729214.57	2036	1561	2181064000000	66415161	26	74	43.6	30.4	48643420000	31668184000	6357516000	9864327000	753393000	32839.8511297744	18.0490297173261	4448	14457467148.09	23230	18782	225.541031277744
141	France	2016	FR	429	1150178762.09	1777	1348	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4877	15607645910.18	25007	20130	NA
143	Germany	2003	DE	32	131656685	242	210	2220080000000	82536680	24	76	55.7	20.3	54538500000	38029000000	7307400000	9202100000	NA	26898.101547094	1.59512940186109	32	131656685	242	210	1.59512940186109
144	Germany	2003	DE	32	131656685	242	210	2220080000000	82536680	24	76	55.7	20.3	54538500000	38029000000	7307400000	9202100000	NA	26898.101547094	1.59512940186109	64	263313370	484	420	3.19025880372218
145	Germany	2004	DE	380	1521681106.75	3431	3051	2270620000000	82531671	23.6	76.4	55.3	21.1	54966900000	38363000000	7514400000	9089458000	NA	27512.1050196597	18.4375414712008	444	1784994476.75	3915	3471	21.627800274923
146	Germany	2004	DE	380	1521681106.75	3431	3051	2270620000000	82531671	23.6	76.4	55.3	21.1	54966900000	38363000000	7514400000	9089458000	NA	27512.1050196597	18.4375414712008	824	3306675583.5	7346	6522	40.0653417461238
147	Germany	2005	DE	386	1185749375	2537	2151	2300860000000	82500849	24.8	75.2	54.6	20.6	55739038000	38651038000	7866900000	9221100000	NA	27888.9251188191	14.37257179014	1210	4492424958.5	9883	8673	54.4379135362638
148	Germany	2005	DE	386	1185749375	2537	2151	2300860000000	82500849	24.8	75.2	54.6	20.6	55739038000	38651038000	7866900000	9221100000	NA	27888.9251188191	14.37257179014	1596	5678174333.5	12420	10824	68.8104853264038
149	Germany	2006	DE	457	1823527151.24	3267	2810	2393250000000	82437995	24.6	75.4	55.3	20.1	58779100000	41148000000	8156080000	9475048000	NA	29030.9098371449	22.1199842528921	2053	7501701484.74	15687	13634	90.9304695792959
150	Germany	2006	DE	457	1823527151.24	3267	2810	2393250000000	82437995	24.6	75.4	55.3	20.1	58779100000	41148000000	8156080000	9475048000	NA	29030.9098371449	22.1199842528921	2510	9325228635.98	18954	16444	113.050453832188
151	Germany	2007	DE	183	428737608.81	1098	915	2513230000000	82314906	23.5	76.5	56.1	20.4	61481981000	43034000000	8540200000	9907781000	NA	30531.8941869411	5.20850511339951	2693	9753966244.79	20052	17359	118.258958945588
152	Germany	2007	DE	183	428737608.81	1098	915	2513230000000	82314906	23.5	76.5	56.1	20.4	61481981000	43034000000	8540200000	9907781000	NA	30531.8941869411	5.20850511339951	2876	10182703853.6	21150	18274	123.467464058987
153	Germany	2008	DE	375	1542909464.93	2794	2419	2561740000000	82217837	22.3	77.7	56.3	21.4	66531540000	46073000000	9346380000	11112160000	NA	31157.9590691494	18.7661159819858	3251	11725613318.53	23944	20693	142.233580040973
154	Germany	2008	DE	375	1542909464.93	2794	2419	2561740000000	82217837	22.3	77.7	56.3	21.4	66531540000	46073000000	9346380000	11112160000	NA	31157.9590691494	18.7661159819858	3626	13268522783.46	26738	23112	160.999696022959
155	Germany	2009	DE	349	923188385.32	2214	1865	2460280000000	82002356	22	78	55.8	22.3	67014884000	45275000000	9931730000	11871391000	NA	30002.552609586	11.2580714793121	3975	14191711168.78	28952	24977	172.257767502271
156	Germany	2009	DE	349	923188385.32	2214	1865	2460280000000	82002356	22	78	55.8	22.3	67014884000	45275000000	9931730000	11871391000	NA	30002.552609586	11.2580714793121	4324	15114899554.1	31166	26842	183.515838981583
157	Germany	2010	DE	469	1612446539.22	2675	2206	2580060000000	81802257	21	79	56.3	22.7	70014208000	46929000000	10353729000	12731479000	NA	31540.2055471403	19.711516507668	4793	16727346093.32	33841	29048	203.227355489251
158	Germany	2010	DE	469	1612446539.22	2675	2206	2580060000000	81802257	21	79	56.3	22.7	70014208000	46929000000	10353729000	12731479000	NA	31540.2055471403	19.711516507668	5262	18339792632.54	36516	31254	222.938871996919
159	Germany	2011	DE	501	1509200200.75	2921	2420	2703120000000	80222065	18.1	81.9	57.6	24.3	75569073000	51077200000	10974300000	13517573000	NA	33695.4676995662	18.8127817546208	5763	19848992833.29	39437	33674	241.75165375154
160	Germany	2011	DE	501	1509200200.75	2921	2420	2703120000000	80222065	18.1	81.9	57.6	24.3	75569073000	51077200000	10974300000	13517573000	NA	33695.4676995662	18.8127817546208	6264	21358193034.04	42358	36094	260.56443550616
161	Germany	2012	DE	535	1542012131.55	3073	2538	2758260000000	80327900	17.9	82.1	57.2	24.9	79110378000	53790100000	11340547000	13979731000	NA	34337.5091344352	19.1964701125014	6799	22900205165.59	45431	38632	279.760905618662
162	Germany	2012	DE	535	1542012131.55	3073	2538	2758260000000	80327900	17.9	82.1	57.2	24.9	79110378000	53790100000	11340547000	13979731000	NA	34337.5091344352	19.1964701125014	7334	24442217297.14	48504	41170	298.957375731163
163	Germany	2013	DE	545	1844444125.28	3363	2818	2826240000000	80523746	17.7	82.3	57.1	25.2	79729508000	53566200000	11861635000	14301708000	NA	35098.2181082336	22.905592659338	7879	26286661422.42	51867	43988	321.862968390501
164	Germany	2013	DE	545	1844444125.28	3363	2818	2826240000000	80523746	17.7	82.3	57.1	25.2	79729508000	53566200000	11861635000	14301708000	NA	35098.2181082336	22.905592659338	8424	28131105547.7	55230	46806	344.768561049839
165	Germany	2014	DE	347	1801000485.22	1296	949	2923930000000	80767463	19.7	80.3	57.1	23.2	84454140000	56996500000	12527344000	14930296000	NA	36201.8304326335	22.2985892873718	8771	29932106032.92	56526	47755	367.067150337211
166	Germany	2014	DE	347	1801000485.22	1296	949	2923930000000	80767463	19.7	80.3	57.1	23.2	84454140000	56996500000	12527344000	14930296000	NA	36201.8304326335	22.2985892873718	9118	31733106518.14	57822	48704	389.365739624583
167	Germany	2015	DE	600	1527706018.32	2989	2389	3032820000000	81197537	19.8	80.2	56.4	23.8	87188000000	59058000000	13000000000	15130000000	NA	37351.1329537003	18.8146842227493	9718	33260812536.46	60811	51093	408.180423847332
168	Germany	2015	DE	600	1527706018.32	2989	2389	3032820000000	81197537	19.8	80.2	56.4	23.8	87188000000	59058000000	13000000000	15130000000	NA	37351.1329537003	18.8146842227493	10318	34788518554.78	63800	53482	426.995108070081
169	Germany	2016	DE	536	1460953253.54	2492	1956	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10854	36249471808.32	66292	55438	NA
171	Greece	2003	EL	6	5425897	58	52	 178904900000	10915770	43.9	56.1	40.4	15.7	977780000	313490000	198390000	456770000	9130000	16389.581312175	0.49706956082805	6	5425897	58	52	0.49706956082805
172	Greece	2004	EL	80	222575984.2	739	659	 193715800000	10940369	40.9	59.1	41.6	17.5	1021470000	317370000	202600000	492000000	9500000	17706.5142866753	20.3444677414446	86	228001881.2	797	711	20.8415373022726
173	Greece	2005	EL	101	97627495	469	368	 199242300000	10969912	40	60	42.3	17.6	1153526000	357356000	233900000	547720000	14550000	18162.6160720341	8.89956956810592	187	325629376.2	1266	1079	29.7411068703785
174	Greece	2006	EL	118	298485222.19	801	683	 217861600000	11004716	41.4	58.6	39.9	18.7	1222600000	367300000	254400000	584500000	16400000	19797.1124379766	27.1233916613568	305	624114598.39	2067	1762	56.8644985317354
175	Greece	2007	EL	56	63107758.51	291	235	 232694600000	11036008	40.8	59.2	40.1	19.1	1341600000	383530000	280680000	660500000	16900000	21085.0336462243	5.71835019601291	361	687222356.9	2358	1997	62.5828487277483
176	Greece	2008	EL	107	219074514.94	666	559	 241990400000	11060937	39.7	60.3	40.5	19.8	1601570000	500800000	545930000	540570000	14270000	21877.9295099502	19.8061443564863	468	906296871.84	3024	2556	82.3889930842345
177	Greece	2009	EL	101	170408466.3	460	359	 237534200000	11094745	39.6	60.4	40.5	19.9	1485940000	537830000	388370000	544930000	14810000	21409.6132898954	15.3593855739812	569	1076705338.14	3484	2915	97.7483786582157
178	Greece	2010	EL	107	249798750.4	577	470	 226031400000	11119289	38.5	61.5	40.6	20.9	1352520000	533390000	320550000	483240000	15340000	20327.8644884578	22.4653528116771	676	1326504088.54	4061	3385	120.213731469893
179	Greece	2011	EL	98	177894916.1	550	452	 207028900000	11123392	37.1	62.9	40.7	22.2	1391156000	485863000	331727000	559528000	14039000	18612.0294960386	15.9928658542286	774	1504399004.64	4611	3837	136.206597324121
180	Greece	2012	EL	89	209570435.37	579	490	 191203900000	11086406	35.9	64.1	41.3	22.9	1337600000	458600000	331900000	534300000	12800000	17246.6983438997	18.903370070517	863	1713969440.01	5190	4327	155.109967394638
181	Greece	2013	EL	116	318392278.01	650	534	 180389000000	11003615	34.5	65.5	41.4	24	1465670000	488690000	410130000	548600000	18250000	16393.6124628134	28.9352433732005	979	2032361718.02	5840	4861	184.045210767839
182	Greece	2014	EL	44	117236872.72	272	228	 177559400000	10926807	33.1	66.9	42.2	24.6	1488740000	504370000	412690000	553200000	18480000	16249.8889199745	10.729289235181	1023	2149598590.74	6112	5089	194.77450000302
183	Greece	2015	EL	91	281917844.51	618	527	 176022700000	10858018	31.5	68.5	43	25.4	1683850000	561410000	465500000	643770000	13170000	16211.3103883232	25.9640244204789	1114	2431516435.25	6730	5616	220.738524423499
184	Greece	2016	EL	89	226216576.64	574	485	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1203	2657733011.89	7304	6101	NA
186	Hungary	2003	HU	2	564928	18	16	  75174400000	10142362	30.1	69.9	56.8	13.1	693056000	254576000	217219000	185207000	NA	7411.92239046486	0.0556998458544469	2	564928	18	16	0.0556998458544469
187	Hungary	2004	HU	31	18266864	373	342	  83496800000	10116742	29.3	70.7	56.5	14.2	721312000	296596000	213144000	177282000	NA	8253.32898674296	1.80560737834374	33	18831792	391	358	1.86130722419819
188	Hungary	2005	HU	28	5000303	272	244	  90543000000	10097549	28.5	71.5	56.9	14.5	837589000	361634000	234513000	210626000	NA	8966.82947515283	0.495199676674013	61	23832095	663	602	2.3565069008722
189	Hungary	2006	HU	31	33769036	392	361	  91345000000	10076581	27.3	72.7	57.7	15	900451000	434694000	228459000	219266000	NA	9065.0787206494	3.35123947299188	92	57601131	1055	963	5.70774637386408
190	Hungary	2007	HU	19	12161386	166	147	 101605900000	10066158	26.3	73.7	58.3	15.4	977493000	492021000	236072000	228227000	NA	10093.8113627861	1.20814574935144	111	69762517	1221	1110	6.91589212321552
191	Hungary	2008	HU	36	36949701.18	303	267	 107503100000	10045401	25.8	74.2	57.8	16.4	1059155000	556805000	247759000	233407000	NA	10701.7231069223	3.6782704025454	147	106712218.18	1524	1377	10.5941625257609
192	Hungary	2009	HU	27	29565098.23	216	189	  93670700000	10030975	25	75	58.1	16.9	1067166000	610800000	214044000	223427000	NA	9338.14509556648	2.94738031248209	174	136277316.41	1740	1566	13.541542838243
193	Hungary	2010	HU	23	37049479.09	240	217	  98198400000	10014324	24.4	75.6	58.5	17.1	1126073000	673543000	208545000	224405000	NA	9805.79418041597	3.69964853244213	197	173326795.5	1980	1783	17.2411913706851
194	Hungary	2011	HU	37	44827935.56	256	219	 100704500000	9985722	24.3	75.7	57.7	18	1204629000	751954000	189839000	243134000	NA	10084.849147613	4.48920324038662	234	218154731.06	2236	2002	21.7303946110718
195	Hungary	2012	HU	32	34117607.85	237	205	  98972800000	9931925	23.5	76.5	57.5	19	1257332000	825137000	181602000	231489000	NA	9965.11753763747	3.43514553825165	266	252272338.91	2473	2207	25.1655401493234
196	Hungary	2013	HU	36	47360894.24	255	219	 101273300000	9908798	22.8	77.2	57.8	19.5	1415099000	982514000	210771000	203671000	NA	10220.5433999159	4.77968107130653	302	299633233.15	2728	2426	29.9452212206299
197	Hungary	2014	HU	22	14620931.54	109	87	 104239100000	9877365	22	78	57.7	20.2	1428824000	1021993000	196328000	192858000	NA	10553.3307719215	1.48024615269356	324	314254164.69	2837	2513	31.4254673733235
198	Hungary	2015	HU	43	60576040.66	220	177	 108747900000	9855571	21.9	78.1	57.2	20.9	1510935000	1109625000	200778000	183039000	NA	11034.1552001401	6.14637555348138	367	374830205.35	3057	2690	37.5718429268049
199	Hungary	2016	HU	30	31789944.9	176	146	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	397	406620150.25	3233	2836	NA
201	Ireland	2003	IE	3	463311	30	27	 145557100000	3964191	38.9	61.1	37.6	23.5	1636800000	1105000000	127400000	404400000	NA	36717.9835684002	0.116874035585066	3	463311	30	27	0.116874035585066
202	Ireland	2004	IE	38	60090875	282	244	 156143600000	4028851	38.3	61.7	36.8	24.9	1840400000	1210000000	138400000	492000000	NA	38756.3600639488	14.9151395770159	41	60554186	312	271	15.0320136126009
203	Ireland	2005	IE	47	46164396	234	187	 170215800000	4111672	36.5	63.5	37.4	26.1	2030000000	1330000000	150000000	550000000	NA	41398.1951867756	11.227645590407	88	106718582	546	458	26.259659203008
204	Ireland	2006	IE	64	41886200	265	201	 185060700000	4208156	35.2	64.8	37	27.7	2216900000	1466400000	150000000	600500000	NA	43976.6729180192	9.9535758655335	152	148604782	811	659	36.2132350685415
205	Ireland	2007	IE	19	61448441.6	93	74	 197293400000	4340118	34.1	65.9	37	28.9	2432000000	1603200000	168800000	660000000	NA	45458.0727989423	14.1582421491766	171	210053223.6	904	733	50.3714772177181
206	Ireland	2008	IE	28	58445004.35	245	217	 187687200000	4457765	32.4	67.6	37.3	30.3	2605600000	1686700000	169100000	749800000	NA	42103.4307550981	13.1108311788531	199	268498227.95	1149	950	63.4823083965711
207	Ireland	2009	IE	47	72451662.17	183	136	 169704300000	4521322	31.5	68.5	37.1	31.4	2735556000	1868456000	138100000	729000000	NA	37534.2211857505	16.0244420039095	246	340949890.12	1332	1086	79.5067504004806
208	Ireland	2010	IE	72	162871062.03	285	213	 167124300000	4549428	30.5	69.5	36.7	32.7	2669505000	1833600000	127400000	708500000	NA	36735.2335282589	35.8003384227644	318	503820952.15	1617	1299	115.307088823245
209	Ireland	2011	IE	74	183751668.91	301	227	 173070200000	4570881	29.7	70.3	37	33.3	2665900000	1859600000	131900000	674400000	NA	37863.6416043209	40.2004928393454	392	687572621.06	1918	1526	155.50758166259
210	Ireland	2012	IE	80	197084882.59	368	288	 175753600000	4582707	28.8	71.2	36.5	34.7	2733892000	1961692000	132000000	640200000	NA	38351.4809041905	43.0062150144009	472	884657503.65	2286	1814	198.513796676991
211	Ireland	2013	IE	97	192642296.5	399	302	 180209300000	4591087	27.2	72.8	36.4	36.3	2813140000	2021900000	129000000	662240000	NA	39251.9897793268	41.9600622902594	569	1077299800.15	2685	2116	240.473858967251
212	Ireland	2014	IE	66	112681891.41	206	140	 193159600000	4605501	25.6	74.4	38.6	35.8	2921400000	2106800000	130300000	684300000	NA	41941.0613525	24.4668042434471	635	1189981691.56	2891	2256	264.940663210698
213	Ireland	2015	IE	112	224178274	366	254	 255815200000	4628949	24.9	75.1	37.7	37.4	NA	NA	136200000	707400000	NA	55264.207922792	48.4296271140598	747	1414159965.56	3257	2510	313.370290324758
214	Ireland	2016	IE	111	233622875.28	383	272	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	858	1647782840.84	3640	2782	NA
216	Italy	2003	IT	14	23323662	147	133	1390709600000	57130506	53.7	46.3	37.2	9.1	14769000000	6979000000	2582000000	5000000000	208000000	24342.679548471	0.408252326699154	14	23323662	147	133	0.408252326699154
217	Italy	2004	IT	221	653810652.79	2058	1837	1448362700000	57495900	51.8	48.2	38.1	10	15253000000	7293000000	2722000000	5005000000	233000000	25190.7127290816	11.3714308809846	235	677134314.79	2205	1970	11.7796832076837
218	Italy	2005	IT	228	576446521	1553	1325	1489725500000	57874753	50.6	49.4	38.6	10.8	15598800000	7855800000	2701200000	4711700000	330100000	25740.5072640224	9.96024157545865	463	1253580835.79	3758	3295	21.7399247831424
219	Italy	2006	IT	289	738963653.7	2133	1844	1548473400000	58064214	49.5	50.5	39.1	11.4	16831300000	8210300000	2897100000	5093700000	630200000	26668.2917640115	12.7266624792338	752	1992544489.49	5891	5139	34.4665872623761
220	Italy	2007	IT	121	304456256.88	714	593	1609550800000	58223744	48.7	51.3	39.3	12	18231400000	9454700000	2644300000	5495200000	637200000	27644.2339400228	5.22907384451264	873	2297000746.37	6605	5732	39.6956611068888
221	Italy	2008	IT	270	864298562.03	1794	1524	1632150800000	58652875	47.9	52.1	39.5	12.7	18992800000	10173300000	2417100000	5786300000	616100000	27827.2940584754	14.7358260277949	1143	3161299308.4	8399	7256	54.4314871346837
222	Italy	2009	IT	238	688554705.83	1511	1273	1572878300000	59000586	47.1	52.9	40.1	12.8	19209000000	10238100000	2524600000	5812000000	634300000	26658.6894577623	11.67030283106	1381	3849854014.23	9910	8529	66.1017899657437
223	Italy	2010	IT	279	733015518.12	1846	1567	1604514500000	59190143	46.3	53.7	40.7	13	19624900000	10579200000	2687600000	5647500000	710600000	27107.7990130891	12.3840808784665	1660	4582869532.35	11756	10096	78.4858708442102
224	Italy	2011	IT	317	835597604.99	1974	1657	1637462900000	59364690	45.5	54.5	41.4	13.2	19810600000	10825300000	2653600000	5669200000	662500000	27583.1121159733	14.0756669493263	1977	5418467137.34	13730	11753	92.5615377935365
225	Italy	2012	IT	322	867237880.79	1958	1636	1613265000000	59394207	44.2	55.8	41.9	13.9	20502500000	11107200000	3040400000	5747800000	607100000	27161.9924145127	14.6013883271478	2299	6285705018.13	15688	13389	107.162926120684
226	Italy	2013	IT	317	962328780.8	2016	1699	1604477900000	59685227	43.4	56.6	42.2	14.4	20983100000	11480400000	2937400000	5938200000	627100000	26882.3288550113	16.1233998624149	2616	7248033798.93	17704	15088	123.286325983099
227	Italy	2014	IT	220	414330900.47	951	731	1611884000000	60782668	42.3	57.7	42.7	15	22291054000	12343773000	2959783000	6325700000	661798000	26518.8096053961	6.81659614661864	2836	7662364699.4	18655	15819	130.102922129718
228	Italy	2015	IT	438	896382431.11	2033	1595	1636371700000	60795612	41.9	58.1	42.7	15.5	21892000000	12105675000	2901586000	6254400000	630352000	26915.9507761843	14.7441961947846	3274	8558747130.51	20688	17414	144.847118324502
229	Italy	2016	IT	447	922054835.22	1977	1530	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3721	9480801965.73	22665	18944	NA
231	Latvia	2004	LV	7	3653419	80	73	  11662100000	2276520	24.5	75.5	59	16.5	46707000	20776000	9080000	16837000	0	5122.77511289161	1.60482622599406	7	3653419	80	73	1.60482622599406
232	Latvia	2005	LV	2	200000	63	61	  13710600000	2249724	24.6	75.4	58.5	16.9	72693000	29609000	13587000	29494000	3000	6094.34757330233	0.0888997939302777	9	3853419	143	134	1.69372601992434
233	Latvia	2007	LV	2	216930	33	31	  22639500000	2208840	24	76	57.5	18.5	125590000	40884000	30463000	54244000	NA	10249.4974737871	0.0982099201390775	11	4070349	176	165	1.79193594006342
234	Latvia	2008	LV	5	2559468.46	61	56	  24317900000	2191810	22.8	77.2	56.5	20.7	141590000	35433000	38991000	67166000	NA	11094.8941742213	1.16774193931043	16	6629817.46	237	221	2.95967787937385
235	Latvia	2009	LV	1	81419.6	44	43	  18731200000	2162834	21.5	78.5	57	21.4	84882000	30892000	20973000	33018000	NA	8660.48896956493	0.0376448677984533	17	6711237.06	281	264	2.9973227471723
236	Latvia	2010	LV	4	5922987.4	48	44	  17772400000	2120504	19.5	80.5	57.8	22.6	108649000	40214000	24975000	43459000	NA	8381.21503189808	2.79319793784874	21	12634224.46	329	308	5.79052068502104
237	Latvia	2011	LV	3	298141.8	39	36	  20144200000	2074605	19.5	80.5	56.8	23.6	140730000	39076000	32846000	68808000	NA	9709.89658272298	0.143710152053041	24	12932366.26	368	344	5.93423083707408
238	Latvia	2012	LV	6	8410447.2	53	47	  21982700000	2044813	17.4	82.6	57.4	25.2	146516000	33098000	39723000	73735000	NA	10750.4696028439	4.11306422641092	30	21342813.46	421	391	10.047295063485
239	Latvia	2013	LV	9	13505589	60	51	  22805200000	2023825	16.6	83.4	56.4	27	139766000	39475000	40377000	59914000	NA	11268.3655948513	6.67329882771485	39	34848402.46	481	442	16.7205938911999
240	Latvia	2014	LV	3	1078450	27	24	  23580900000	2001468	16.1	83.9	57	26.9	162800000	57800000	39000000	66000000	NA	11781.8021572166	0.538829499147626	42	35926852.46	508	466	17.2594233903475
241	Latvia	2015	LV	9	3333549.25	70	61	  24377700000	1986096	15.6	84.4	56.3	28.1	152300000	37700000	39000000	75600000	NA	12274.1801000556	1.67844316186126	51	39260401.71	578	527	18.9378665522087
242	Latvia	2016	LV	6	3209720.75	54	48	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	42470122.46	632	575	NA
243	Lithuania	2004	LT	6	2290427	98	92	  18237400000	3398929	21.6	78.4	56.8	21.6	136903000	29339000	33741000	73824000	NA	5365.63135034595	0.67386726818948	6	2290427	98	92	0.67386726818948
244	Lithuania	2005	LT	3	876201	105	102	  21002400000	3355220	20.8	79.2	56.9	22.4	156974000	32003000	39215000	85757000	NA	6259.61933941739	0.261145617873046	9	3166628	203	194	0.935012886062525
245	Lithuania	2006	LT	9	3525247	105	96	  24079200000	3289835	20.7	79.3	57.4	22	190512000	53232000	43530000	93750000	NA	7319.27285107004	1.07155738813649	18	6691875	308	290	2.00657027419901
246	Lithuania	2007	LT	3	1699497	34	31	  29040700000	3249983	19.9	80.1	56.4	23.7	232594000	66352000	48482000	117760000	NA	8935.64674030603	0.522924889145574	21	8391372	342	321	2.52949516334459
247	Lithuania	2009	LT	8	9195488.67	68	60	  26934800000	3183856	18	82	56.5	25.5	223471000	54507000	52305000	116659000	NA	8459.8047147861	2.8881609815268	29	17586860.67	410	381	5.41765614487139
248	Lithuania	2010	LT	1	106639.6	55	54	  28027700000	3141976	17.1	82.9	56	26.9	219590000	64556000	38520000	116514000	NA	8920.40550277914	0.0339402974433923	30	17693500.27	465	435	5.45159644231478
249	Lithuania	2011	LT	3	1764727.4	58	55	  31263100000	3052588	15.9	84.1	56.3	27.9	282698000	74114000	55346000	153238000	NA	10241.5065511625	0.578108608171165	33	19458227.67	523	490	6.02970505048595
250	Lithuania	2012	LT	5	6848304.79	81	76	  33334700000	3003641	15	85	56.4	28.6	298367000	80341000	58416000	159610000	NA	11098.0972759394	2.28000110199588	38	26306532.46	604	566	8.30970615248182
251	Lithuania	2013	LT	9	23189791.12	68	59	  34962200000	2971905	14.4	85.6	55.8	29.8	332426000	84627000	65918000	181881000	NA	11764.2387626792	7.8030055200284	47	49496323.58	672	625	16.1127116725102
252	Lithuania	2014	LT	4	3591701.9	29	25	  36444400000	2943472	14.2	85.8	54.3	31.4	376827000	116336000	64044000	196447000	NA	12381.4325395315	1.22022628379003	51	53088025.48	701	650	17.3329379563002
253	Lithuania	2015	LT	9	2218249.15	67	58	  37123600000	2921262	13.8	86.2	53	33.2	386998000	104068000	66536000	216394000	NA	12708.0693207251	0.759346183259153	60	55306274.63	768	708	18.0922841395594
254	Lithuania	2016	LT	13	4962910.05	89	76	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	60269184.68	857	784	NA
256	Luxembourg	2003	LU	2	4820339	7	5	  25877300000	448300	43.3	56.7	44	12.6	425800000	379400000	44900000	1500000	NA	57723.1764443453	10.7524849431184	2	4820339	7	5	10.7524849431184
257	Luxembourg	2004	LU	2	2350329	20	18	  27660500000	454960	40.3	59.7	38.9	20.8	447700000	393000000	49200000	5500000	NA	60797.6525408827	5.16601239669421	4	7170668	27	23	15.9184973398127
258	Luxembourg	2005	LU	4	34004488	25	21	  29733500000	461230	38.7	61.3	38.3	23	472000000	408000000	56900000	7100000	NA	64465.6678880385	73.7256639854303	8	41175156	52	44	89.6441613252429
259	Luxembourg	2006	LU	4	10538303.02	41	37	  33409300000	469086	39.3	60.7	40.2	20.5	563500000	485000000	66520000	12000000	NA	71222.1213167735	22.4656097602572	12	51713459.02	93	81	112.1097710855
260	Luxembourg	2007	LU	2	6362775	20	18	  36766100000	476187	38.7	61.3	38.6	22.7	591600000	495000000	79000000	17600000	NA	77209.3736284275	13.3619250420528	14	58076234.02	113	99	125.471696127553
261	Luxembourg	2008	LU	5	13835369	36	31	  37647400000	483799	36.8	63.2	39.5	23.7	618800000	482000000	99000000	37800000	NA	77816.2005295588	28.5973493124211	19	71911603.02	149	130	154.069045439974
262	Luxembourg	2009	LU	3	11433879.71	22	19	  36268200000	493500	28.5	71.5	41.3	30.2	620280000	470700000	99880000	49700000	0	73491.7933130699	23.168955845998	22	83345482.73	171	149	177.238001285972
263	Luxembourg	2010	LU	3	4549338.2	23	20	  39525500000	502066	28.9	71.1	40.8	30.3	603700000	400000000	128590000	75129000	0	78725.7053853477	9.06123537542873	25	87894820.93	194	169	186.299236661401
264	Luxembourg	2011	LU	4	26573819	36	32	  42226900000	511840	29.1	70.9	39.3	31.7	631400000	416200000	147788000	67436000	0	82500.1953735542	51.9182146764614	29	114468639.93	230	201	238.217451337862
265	Luxembourg	2012	LU	6	10232985.8	57	51	  43574100000	524853	28.4	71.6	38.2	33.4	561403000	310400000	156226000	94778000	0	83021.5317431738	19.4968606447901	35	124701625.73	287	252	257.714311982652
266	Luxembourg	2013	LU	7	20635037.11	46	39	  46541100000	537039	26.1	73.9	38.6	35.2	605731000	317900000	175453000	112378000	NA	86662.4211649433	38.4237217594998	42	145336662.84	333	291	296.138033742152
267	Luxembourg	2014	LU	5	4031548.55	28	23	  48897500000	549680	24.9	75.1	35.5	39.6	629800000	338400000	188035000	103385000	NA	88956.3018483481	7.33435553412895	47	149368211.39	361	314	303.472389276281
268	Luxembourg	2015	LU	13	22783724.5	81	68	  52112500000	562958	30.3	69.7	34.5	35.2	671070000	342400000	208970000	119700000	NA	92569.0726484036	40.4714463601192	60	172151935.89	442	382	343.9438356364
269	Luxembourg	2016	LU	10	15913083.52	63	53	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	188065019.41	505	435	NA
271	Malta	2004	MT	4	1134849	41	37	   4867200000	399867	74	26	15.8	10.2	24046000	15906000	607000	7534000	0	12172.0472056959	2.8380661569972	4	1134849	41	37	2.8380661569972
