country1,country2,nbLinkTmp,frameworkContract
Ireland,Slovenia,82,FP6
Finland,Slovenia,114,FP6
Poland,Slovenia,189,FP6
Hungary,Slovenia,145,FP6
Portugal,Slovenia,98,FP6
Netherlands,Slovenia,230,FP6
Cyprus,Slovenia,51,FP6
Czech Republic,Slovenia,139,FP6
Romania,Slovenia,97,FP6
Denmark,Slovenia,129,FP6
Lithuania,Slovenia,82,FP6
Bulgaria,Slovenia,84,FP6
Croatia,Slovenia,46,FP6
Slovakia,Slovenia,88,FP6
Latvia,Slovenia,58,FP6
Estonia,Slovenia,72,FP6
Malta,Slovenia,31,FP6
Luxembourg,Slovenia,20,FP6
Austria,Croatia,46,FP6
Belgium,Croatia,49,FP6
Bulgaria,Croatia,37,FP6
Austria,Bulgaria,132,FP6
Belgium,Bulgaria,135,FP6
Austria,Slovakia,143,FP6
Belgium,Slovakia,138,FP6
France,Slovakia,201,FP6
Germany,Slovakia,254,FP6
Italy,Slovakia,212,FP6
Greece,Slovakia,105,FP6
Ireland,Slovakia,58,FP6
Finland,Slovakia,95,FP6
Poland,Slovakia,167,FP6
Hungary,Slovakia,148,FP6
Portugal,Slovakia,80,FP6
Netherlands,Slovakia,165,FP6
Cyprus,Slovakia,45,FP6
Czech Republic,Slovakia,130,FP6
Romania,Slovakia,97,FP6
Denmark,Slovakia,91,FP6
Lithuania,Slovakia,68,FP6
Bulgaria,Slovakia,81,FP6
Croatia,Slovakia,27,FP6
Latvia,Slovakia,60,FP6
Estonia,Slovakia,67,FP6
Malta,Slovakia,31,FP6
Luxembourg,Slovakia,13,FP6
Austria,Latvia,62,FP6
Belgium,Latvia,75,FP6
France,Latvia,102,FP6
Germany,Latvia,137,FP6
Italy,Latvia,106,FP6
Greece,Latvia,63,FP6
Ireland,Latvia,35,FP6
Finland,Latvia,65,FP6
Hungary,Latvia,72,FP6
Cyprus,Latvia,37,FP6
Czech Republic,Latvia,59,FP6
Denmark,Latvia,55,FP6
Bulgaria,Latvia,50,FP6
Croatia,Latvia,21,FP6
Estonia,Latvia,64,FP6
Austria,Estonia,100,FP6
Belgium,Estonia,115,FP6
Cyprus,Estonia,43,FP6
Czech Republic,Estonia,81,FP6
Denmark,Estonia,102,FP6
Bulgaria,Estonia,61,FP6
Croatia,Estonia,22,FP6
Austria,Malta,35,FP6
Belgium,Malta,36,FP6
France,Malta,56,FP6
Germany,Malta,62,FP6
Italy,Malta,71,FP6
Greece,Malta,52,FP6
Ireland,Malta,21,FP6
Finland,Malta,22,FP6
Hungary,Malta,47,FP6
Cyprus,Malta,34,FP6
Czech Republic,Malta,33,FP6
Denmark,Malta,23,FP6
Lithuania,Malta,31,FP6
Bulgaria,Malta,33,FP6
Croatia,Malta,9,FP6
Latvia,Malta,28,FP6
Estonia,Malta,34,FP6
Luxembourg,Malta,3,FP6
Austria,Luxembourg,34,FP6
Belgium,Luxembourg,60,FP6
France,Luxembourg,61,FP6
Germany,Luxembourg,68,FP6
Italy,Luxembourg,52,FP6
Greece,Luxembourg,39,FP6
Ireland,Luxembourg,21,FP6
Finland,Luxembourg,26,FP6
Hungary,Luxembourg,17,FP6
Cyprus,Luxembourg,13,FP6
Czech Republic,Luxembourg,19,FP6
Denmark,Luxembourg,17,FP6
Lithuania,Luxembourg,7,FP6
Bulgaria,Luxembourg,11,FP6
Croatia,Luxembourg,6,FP6
Latvia,Luxembourg,12,FP6
Estonia,Luxembourg,10,FP6
Germany,Portugal,982,FP7
Austria,Portugal,308,FP7
France,Portugal,811,FP7
Greece,Portugal,442,FP7
Italy,Portugal,834,FP7
Finland,Portugal,273,FP7
Netherlands,Portugal,607,FP7
Ireland,Portugal,254,FP7
Czech Republic,Portugal,168,FP7
Denmark,Portugal,289,FP7
Belgium,Portugal,532,FP7
Estonia,Portugal,93,FP7
Poland,Portugal,291,FP7
Hungary,Portugal,212,FP7
Bulgaria,Portugal,121,FP7
Latvia,Portugal,64,FP7
Cyprus,Portugal,88,FP7
Malta,Portugal,52,FP7
Lithuania,Portugal,68,FP7
Luxembourg,Portugal,52,FP7
Croatia,Portugal,68,FP7
Germany,Spain,3369,FP7
Portugal,Spain,919,FP7
Austria,Spain,1018,FP7
France,Spain,2730,FP7
Greece,Spain,1184,FP7
Italy,Spain,2832,FP7
Finland,Spain,870,FP7
Netherlands,Spain,1961,FP7
Ireland,Spain,655,FP7
Czech Republic,Spain,590,FP7
Denmark,Spain,861,FP7
Slovenia,Spain,367,FP7
Belgium,Spain,1730,FP7
Estonia,Spain,234,FP7
Poland,Spain,845,FP7
Slovakia,Spain,206,FP7
Hungary,Spain,586,FP7
Bulgaria,Spain,282,FP7
Latvia,Spain,138,FP7
Cyprus,Spain,200,FP7
Romania,Spain,497,FP7
Malta,Spain,97,FP7
Lithuania,Spain,179,FP7
Luxembourg,Spain,98,FP7
Croatia,Spain,155,FP7
Austria,France,1122,FP7
Finland,France,894,FP7
Czech Republic,France,626,FP7
Denmark,France,901,FP7
Belgium,France,1995,FP7
Estonia,France,225,FP7
Bulgaria,France,267,FP7
Cyprus,France,177,FP7
Croatia,France,147,FP7
Austria,Germany,1664,FP7
France,Germany,3950,FP7
Finland,Germany,1199,FP7
Czech Republic,Germany,788,FP7
Denmark,Germany,1231,FP7
Belgium,Germany,2456,FP7
Estonia,Germany,293,FP7
Bulgaria,Germany,333,FP7
Cyprus,Germany,211,FP7
Croatia,Germany,187,FP7
Germany,Greece,1475,FP7
Austria,Greece,438,FP7
France,Greece,1212,FP7
Finland,Greece,390,FP7
Czech Republic,Greece,266,FP7
Denmark,Greece,347,FP7
Belgium,Greece,743,FP7
Estonia,Greece,134,FP7
Bulgaria,Greece,197,FP7
Cyprus,Greece,205,FP7
Croatia,Greece,115,FP7
Germany,Italy,3745,FP7
Austria,Italy,1097,FP7
France,Italy,2996,FP7
Greece,Italy,1250,FP7
Finland,Italy,836,FP7
Ireland,Italy,628,FP7
Czech Republic,Italy,613,FP7
Denmark,Italy,847,FP7
Belgium,Italy,1839,FP7
Estonia,Italy,233,FP7
Hungary,Italy,611,FP7
Bulgaria,Italy,292,FP7
Cyprus,Italy,196,FP7
Croatia,Italy,156,FP7
Germany,Sweden,1947,FP7
Portugal,Sweden,398,FP7
Austria,Sweden,595,FP7
France,Sweden,1511,FP7
Greece,Sweden,543,FP7
Italy,Sweden,1381,FP7
Spain,Sweden,1308,FP7
Finland,Sweden,616,FP7
Netherlands,Sweden,1244,FP7
Ireland,Sweden,352,FP7
Czech Republic,Sweden,337,FP7
Denmark,Sweden,591,FP7
Slovenia,Sweden,228,FP7
Belgium,Sweden,1007,FP7
Estonia,Sweden,178,FP7
Poland,Sweden,478,FP7
Slovakia,Sweden,123,FP7
Hungary,Sweden,334,FP7
Bulgaria,Sweden,136,FP7
Latvia,Sweden,93,FP7
Cyprus,Sweden,91,FP7
Romania,Sweden,263,FP7
Malta,Sweden,53,FP7
Lithuania,Sweden,109,FP7
Luxembourg,Sweden,64,FP7
Croatia,Sweden,94,FP7
Germany,United Kingdom,4586,FP7
Portugal,United Kingdom,937,FP7
Austria,United Kingdom,1291,FP7
France,United Kingdom,3555,FP7
Greece,United Kingdom,1395,FP7
Italy,United Kingdom,3426,FP7
Spain,United Kingdom,3254,FP7
Sweden,United Kingdom,1812,FP7
Finland,United Kingdom,1069,FP7
Netherlands,United Kingdom,2858,FP7
Ireland,United Kingdom,860,FP7
Czech Republic,United Kingdom,690,FP7
Denmark,United Kingdom,1189,FP7
Slovenia,United Kingdom,450,FP7
Belgium,United Kingdom,2217,FP7
Estonia,United Kingdom,267,FP7
Poland,United Kingdom,1042,FP7
Slovakia,United Kingdom,240,FP7
Hungary,United Kingdom,697,FP7
Bulgaria,United Kingdom,335,FP7
Latvia,United Kingdom,142,FP7
Cyprus,United Kingdom,235,FP7
Romania,United Kingdom,502,FP7
Malta,United Kingdom,89,FP7
Lithuania,United Kingdom,213,FP7
Luxembourg,United Kingdom,129,FP7
Croatia,United Kingdom,180,FP7
Germany,Netherlands,2992,FP7
Austria,Netherlands,896,FP7
France,Netherlands,2263,FP7
Greece,Netherlands,827,FP7
Italy,Netherlands,2108,FP7
Finland,Netherlands,754,FP7
Ireland,Netherlands,526,FP7
Czech Republic,Netherlands,492,FP7
Denmark,Netherlands,850,FP7
Belgium,Netherlands,1680,FP7
Estonia,Netherlands,192,FP7
Hungary,Netherlands,500,FP7
Bulgaria,Netherlands,225,FP7
Latvia,Netherlands,111,FP7
Cyprus,Netherlands,140,FP7
Malta,Netherlands,61,FP7
Lithuania,Netherlands,136,FP7
Luxembourg,Netherlands,83,FP7
Croatia,Netherlands,124,FP7
Germany,Ireland,801,FP7
Austria,Ireland,269,FP7
France,Ireland,637,FP7
Greece,Ireland,304,FP7
Finland,Ireland,244,FP7
Czech Republic,Ireland,140,FP7
Denmark,Ireland,259,FP7
Belgium,Ireland,395,FP7
Estonia,Ireland,76,FP7
Hungary,Ireland,152,FP7
Bulgaria,Ireland,88,FP7
Cyprus,Ireland,79,FP7
Croatia,Ireland,45,FP7
Austria,Denmark,405,FP7
Czech Republic,Denmark,208,FP7
Belgium,Denmark,643,FP7
Bulgaria,Denmark,100,FP7
Cyprus,Denmark,68,FP7
Croatia,Denmark,64,FP7
Austria,Finland,433,FP7
Czech Republic,Finland,215,FP7
