"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2006","Denmark","Total","Total","Number","5 427 459",""
"2006","Germany","Total","Total","Number","82 437 995",""
"2006","Germany","Total","Total","Number","82 437 995",""
"2006","Estonia","Total","Total","Number","1 350 700",""
"2006","Ireland","Total","Total","Number","4 208 156",""
"2006","Greece","Total","Total","Number","11 004 716",""
"2006","Spain","Total","Total","Number","44 009 971",""
"2006","France","Total","Total","Number","63 229 635",""
"2006","France (metropolitan)","Total","Total","Number","61 399 733",""
"2006","Croatia","Total","Total","Number","4 312 487",""
"2006","Italy","Total","Total","Number","58 064 214",""
"2006","Cyprus","Total","Total","Number","744 013",""
"2006","Latvia","Total","Total","Number","2 227 874",""
"2006","Lithuania","Total","Total","Number","3 289 835",""
"2006","Luxembourg","Total","Total","Number","469 086",""
"2006","Hungary","Total","Total","Number","10 076 581",""
"2006","Malta","Total","Total","Number","404 999",""
"2006","Netherlands","Total","Total","Number","16 334 210",""
"2006","Austria","Total","Total","Number","8 254 298",""
"2006","Poland","Total","Total","Number","38 157 055",""
"2006","Portugal","Total","Total","Number","10 511 988",""
"2006","Romania","Total","Total","Number","21 257 016",""
"2006","Slovenia","Total","Total","Number","2 003 358",""
"2006","Slovakia","Total","Total","Number","5 372 928",""
"2006","Finland","Total","Total","Number","5 255 580",""
"2006","Sweden","Total","Total","Number","9 047 752",""
"2006","United Kingdom","Total","Total","Number","60 620 361",""
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","501 411 612",""
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","497 099 125",""
"2006","European Free Trade Association","Total","Total","Number","12 434 143",""
"2006","Iceland","Total","Total","Number","299 891",""
"2006","Liechtenstein","Total","Total","Number","34 905",""
"2006","Norway","Total","Total","Number","4 640 219",""
"2006","Switzerland","Total","Total","Number","7 459 128",""
"2006","Montenegro","Total","Total","Number","613 109",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 038 514",""
"2006","Albania","Total","Total","Number","3 149 143",""
"2006","Serbia","Total","Total","Number","7 425 487",""
"2006","Turkey","Total","Total","Number","68 860 539",""
"2006","Andorra","Total","Total","Number","78 549",""
"2006","Belarus","Total","Total","Number","9 750 540",""
"2006","Bosnia and Herzegovina","Total","Total","Number","3 842 650",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 100 000",""
"2006","Moldova","Total","Total","Number","3 589 936",""
"2006","Monaco","Total","Total","Number",":",""
"2006","Russia","Total","Total","Number","142 753 551",""
"2006","San Marino","Total","Total","Number","29 999",""
"2006","Ukraine","Total","Total","Number","46 749 170",""
"2006","Armenia","Total","Total","Number","3 219 234",""
"2006","Azerbaijan","Total","Total","Number","8 436 400",""
"2006","Georgia","Total","Total","Number","4 401 292",""
"2007","European Union (28 countries)","Total","Total","Number","498 300 775",""
"2007","European Union (27 countries)","Total","Total","Number","493 987 245",""
"2007","Euro area (19 countries)","Total","Total","Number","331 204 579",""
"2007","Euro area (18 countries)","Total","Total","Number","327 954 596",""
"2007","Belgium","Total","Total","Number","10 584 534",""
"2007","Bulgaria","Total","Total","Number","7 572 673",""
"2007","Czech Republic","Total","Total","Number","10 254 233",""
"2007","Denmark","Total","Total","Number","5 447 084",""
"2007","Germany","Total","Total","Number","82 314 906",""
"2007","Germany","Total","Total","Number","82 314 906",""
"2007","Estonia","Total","Total","Number","1 342 920",""
"2007","Ireland","Total","Total","Number","4 340 118",""
"2007","Greece","Total","Total","Number","11 036 008",""
"2007","Spain","Total","Total","Number","44 784 666",""
"2007","France","Total","Total","Number","63 645 065",""
"2007","France (metropolitan)","Total","Total","Number","61 795 238",""
"2007","Croatia","Total","Total","Number","4 313 530",""
"2007","Italy","Total","Total","Number","58 223 744",""
"2007","Cyprus","Total","Total","Number","757 916",""
"2007","Latvia","Total","Total","Number","2 208 840",""
"2007","Lithuania","Total","Total","Number","3 249 983",""
"2007","Luxembourg","Total","Total","Number","476 187",""
"2007","Hungary","Total","Total","Number","10 066 158",""
"2007","Malta","Total","Total","Number","405 616",""
"2007","Netherlands","Total","Total","Number","16 357 992",""
"2007","Austria","Total","Total","Number","8 282 984",""
"2007","Poland","Total","Total","Number","38 125 479",""
"2007","Portugal","Total","Total","Number","10 532 588",""
"2007","Romania","Total","Total","Number","21 130 503",""
"2007","Slovenia","Total","Total","Number","2 010 377",""
"2007","Slovakia","Total","Total","Number","5 373 180",""
"2007","Finland","Total","Total","Number","5 276 955",""
"2007","Sweden","Total","Total","Number","9 113 257",""
"2007","United Kingdom","Total","Total","Number","61 073 279",""
"2007","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","503 324 749",""
"2007","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","499 011 219",""
"2007","European Free Trade Association","Total","Total","Number","12 532 713",""
"2007","Iceland","Total","Total","Number","307 672",""
"2007","Liechtenstein","Total","Total","Number","35 168",""
"2007","Norway","Total","Total","Number","4 681 134",""
"2007","Switzerland","Total","Total","Number","7 508 739",""
"2007","Montenegro","Total","Total","Number","614 624",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 041 941",""
"2007","Albania","Total","Total","Number","3 152 625",""
"2007","Serbia","Total","Total","Number","7 397 651",""
"2007","Turkey","Total","Total","Number","69 729 967",""
"2007","Andorra","Total","Total","Number","81 222",""
"2007","Belarus","Total","Total","Number","9 714 461",""
"2007","Bosnia and Herzegovina","Total","Total","Number","3 844 017",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 126 708",""
"2007","Moldova","Total","Total","Number","3 581 110",""
"2007","Monaco","Total","Total","Number",":",""
"2007","Russia","Total","Total","Number","142 220 968",""
"2007","San Marino","Total","Total","Number","30 368",""
"2007","Ukraine","Total","Total","Number","46 465 691",""
"2007","Armenia","Total","Total","Number","3 222 953",""
"2007","Azerbaijan","Total","Total","Number","8 532 700",""
"2007","Georgia","Total","Total","Number","4 394 702",""
"2008","European Union (28 countries)","Total","Total","Number","500 297 033",""
"2008","European Union (27 countries)","Total","Total","Number","495 985 066",""
"2008","Euro area (19 countries)","Total","Total","Number","333 096 775",""
"2008","Euro area (18 countries)","Total","Total","Number","329 884 170",""
"2008","Belgium","Total","Total","Number","10 666 866",""
"2008","Bulgaria","Total","Total","Number","7 518 002",""
"2008","Czech Republic","Total","Total","Number","10 343 422",""
"2008","Denmark","Total","Total","Number","5 475 791",""
"2008","Germany","Total","Total","Number","82 217 837",""
"2008","Germany","Total","Total","Number","82 217 837",""
"2008","Estonia","Total","Total","Number","1 338 440",""
"2008","Ireland","Total","Total","Number","4 457 765",""
"2008","Greece","Total","Total","Number","11 060 937",""
"2008","Spain","Total","Total","Number","45 668 939",""
"2008","France","Total","Total","Number","64 007 193",""
"2008","France (metropolitan)","Total","Total","Number","62 134 866",""
"2008","Croatia","Total","Total","Number","4 311 967",""
"2008","Italy","Total","Total","Number","58 652 875",""
"2008","Cyprus","Total","Total","Number","776 333",""
"2008","Latvia","Total","Total","Number","2 191 810",""
"2008","Lithuania","Total","Total","Number","3 212 605",""
"2008","Luxembourg","Total","Total","Number","483 799",""
"2008","Hungary","Total","Total","Number","10 045 401",""
"2008","Malta","Total","Total","Number","407 832",""
