"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","IE","2006","Y15-64","PC","ED3_4","37.0"
"T","IE","2006","Y15-64","PC","ED5-8","27.7"
"T","IE","2007","Y15-64","PC","ED0-2","34.1"
"T","IE","2007","Y15-64","PC","ED3-8","65.9"
"T","IE","2007","Y15-64","PC","ED3_4","37.0"
"T","IE","2007","Y15-64","PC","ED5-8","28.9"
"T","IE","2008","Y15-64","PC","ED0-2","32.4"
"T","IE","2008","Y15-64","PC","ED3-8","67.6"
"T","IE","2008","Y15-64","PC","ED3_4","37.3"
"T","IE","2008","Y15-64","PC","ED5-8","30.3"
"T","IE","2009","Y15-64","PC","ED0-2","31.5"
"T","IE","2009","Y15-64","PC","ED3-8","68.5"
"T","IE","2009","Y15-64","PC","ED3_4","37.1"
"T","IE","2009","Y15-64","PC","ED5-8","31.4"
"T","IE","2010","Y15-64","PC","ED0-2","30.5"
"T","IE","2010","Y15-64","PC","ED3-8","69.5"
"T","IE","2010","Y15-64","PC","ED3_4","36.7"
"T","IE","2010","Y15-64","PC","ED5-8","32.7"
"T","IE","2011","Y15-64","PC","ED0-2","29.7"
"T","IE","2011","Y15-64","PC","ED3-8","70.3"
"T","IE","2011","Y15-64","PC","ED3_4","37.0"
"T","IE","2011","Y15-64","PC","ED5-8","33.3"
"T","IE","2012","Y15-64","PC","ED0-2","28.8"
"T","IE","2012","Y15-64","PC","ED3-8","71.2"
"T","IE","2012","Y15-64","PC","ED3_4","36.5"
"T","IE","2012","Y15-64","PC","ED5-8","34.7"
"T","IE","2013","Y15-64","PC","ED0-2","27.2"
"T","IE","2013","Y15-64","PC","ED3-8","72.8"
"T","IE","2013","Y15-64","PC","ED3_4","36.4"
"T","IE","2013","Y15-64","PC","ED5-8","36.3"
"T","IE","2014","Y15-64","PC","ED0-2","25.6"
"T","IE","2014","Y15-64","PC","ED3-8","74.4"
"T","IE","2014","Y15-64","PC","ED3_4","38.6"
"T","IE","2014","Y15-64","PC","ED5-8","35.8"
"T","IE","2015","Y15-64","PC","ED0-2","24.9"
"T","IE","2015","Y15-64","PC","ED3-8","75.1"
"T","IE","2015","Y15-64","PC","ED3_4","37.7"
