Country	Year	CountryShort	Number of coordinated projects per country	Budget of coordinated projects per country	Total number of projects	Number of projects as participant	GDP	Population	% of the population that study up to secondary education	% of the population that have a secondary or tertiary education	% of the population that have a secondary education	% of the population that have a tertiary education	R&D Budget	R&D Budget of enterprise	R&D Budget of government	R&D Budget of high education	R&D Budget of non-profit organisation	GDP per capita	Budget of coordinated projects per country per capita
404	United Kingdom	2005	UK	490	794024282	2247	1757	2017339900000	60182050	28.4	71.6	44.8	26.8	31706932000	19464171000	3347616000	8160427000	734718000	33520.6245051473	13.1937061299839
405	United Kingdom	2006	UK	491	724527730	2627	2136	2135220700000	60620361	27.5	72.5	44.9	27.6	34037113000	20985184000	3401056000	8891595000	759278000	35222.8304941965	11.9518874194761
406	United Kingdom	2007	UK	274	260097465	1031	757	2237031300000	61073279	27	73	44.3	28.7	36529062000	22841873000	3346265000	9527098000	813826000	36628.6424542556	4.25877682120195
407	United Kingdom	2008	UK	496	973416190.4	2363	1867	1964449700000	61571647	26.9	73.1	44.4	28.7	32200441000	19962391000	2947305000	8532269000	758476000	31905.1023598573	15.8094876104256
408	United Kingdom	2009	UK	539	1187504992.24	2094	1555	1705456000000	62042343	25.7	74.3	44.2	30	29030868000	17537322000	2660231000	8113144000	720171000	27488.5814676599	19.1402344724473
409	United Kingdom	2010	UK	638	1036221082.55	2481	1843	1833021300000	62510197	24.1	75.9	44.2	31.6	30732105000	18730940000	2927787000	8311590000	761795000	29323.5566030931	16.5768327773787
410	United Kingdom	2011	UK	749	1386153417.58	2999	2250	1876151100000	63022532	23.8	76.2	43	33.2	31547068000	20057841000	2706303000	8211315000	571610000	29769.5290947688	21.9945688246864
411	United Kingdom	2012	UK	870	1472794627.49	3087	2217	2065736800000	63495303	22.2	77.8	43.1	34.6	33303737000	21095943000	2679739000	8893205000	634850000	32533.6946576977	23.1953319049442
412	United Kingdom	2013	UK	1013	1987010755.2	3496	2483	2048328000000	63905297	21.7	78.3	42.7	35.6	33998705000	21721182000	2685624000	8981867000	610032000	32052.5542663545	31.0930525086207
413	United Kingdom	2014	UK	805	889546658.94	1822	1017	2260804800000	64351155	20.9	79.1	42.5	36.6	37960055000	24730058000	2756730000	9786007000	687260000	35132.3111449981	13.8233207926105
414	United Kingdom	2015	UK	973	1499898163.76	2903	1930	2575719200000	64875165	20.3	79.7	42.1	37.6	43878203000	28839343000	2982915000	11239598000	816341000	39702.6997927481	23.1197587514421
415	United Kingdom	2016	UK	995	1742078457.38	2605	1610	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
