Org1;Org2;nbLinkTmp;Org
63445;NANESA SRL;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63446;NANOSC AB;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63447;NOKIA OYJ;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63448;NOKIA R&D (UK) LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63449;OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63450;PIXIUM VISION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63451;POLYMEM S.A.;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63452;PROGNOMICS LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63453;RESEARCH AND DEVELOPMENT OF NANOMATERIALS AND NANOTECHNOLOGY NANO TECHLAB LTD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63454;STIFTELSEN CHALMERS INDUSTRITEKNIK;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
