country1;country2;nbLinkTmp;frameworkContract
519;Lithuania;United Kingdom;213;FP7
520;Luxembourg;United Kingdom;129;FP7
521;Croatia;United Kingdom;180;FP7
522;Germany;Netherlands;2992;FP7
523;Austria;Netherlands;896;FP7
524;France;Netherlands;2263;FP7
525;Greece;Netherlands;827;FP7
526;Italy;Netherlands;2108;FP7
527;Finland;Netherlands;754;FP7
528;Ireland;Netherlands;526;FP7
529;Czech Republic;Netherlands;492;FP7
530;Denmark;Netherlands;850;FP7
531;Belgium;Netherlands;1680;FP7
532;Estonia;Netherlands;192;FP7
533;Hungary;Netherlands;500;FP7
534;Bulgaria;Netherlands;225;FP7
535;Latvia;Netherlands;111;FP7
536;Cyprus;Netherlands;140;FP7
537;Malta;Netherlands;61;FP7
538;Lithuania;Netherlands;136;FP7
539;Luxembourg;Netherlands;83;FP7
540;Croatia;Netherlands;124;FP7
541;Germany;Ireland;801;FP7
542;Austria;Ireland;269;FP7
543;France;Ireland;637;FP7
544;Greece;Ireland;304;FP7
545;Finland;Ireland;244;FP7
546;Czech Republic;Ireland;140;FP7
547;Denmark;Ireland;259;FP7
548;Belgium;Ireland;395;FP7
549;Estonia;Ireland;76;FP7
550;Hungary;Ireland;152;FP7
551;Bulgaria;Ireland;88;FP7
552;Cyprus;Ireland;79;FP7
553;Croatia;Ireland;45;FP7
554;Austria;Denmark;405;FP7
555;Czech Republic;Denmark;208;FP7
556;Belgium;Denmark;643;FP7
557;Bulgaria;Denmark;100;FP7
558;Cyprus;Denmark;68;FP7
559;Croatia;Denmark;64;FP7
560;Austria;Finland;433;FP7
561;Czech Republic;Finland;215;FP7
562;Denmark;Finland;387;FP7
563;Belgium;Finland;597;FP7
564;Estonia;Finland;138;FP7
565;Bulgaria;Finland;104;FP7
566;Cyprus;Finland;72;FP7
567;Croatia;Finland;58;FP7
568;Germany;Slovenia;501;FP7
569;Portugal;Slovenia;138;FP7
570;Austria;Slovenia;212;FP7
571;France;Slovenia;369;FP7
572;Greece;Slovenia;191;FP7
573;Italy;Slovenia;417;FP7
574;Finland;Slovenia;163;FP7
575;Netherlands;Slovenia;316;FP7
576;Ireland;Slovenia;126;FP7
577;Czech Republic;Slovenia;120;FP7
578;Denmark;Slovenia;147;FP7
579;Belgium;Slovenia;287;FP7
580;Estonia;Slovenia;71;FP7
581;Poland;Slovenia;172;FP7
582;Slovakia;Slovenia;71;FP7
583;Hungary;Slovenia;130;FP7
584;Bulgaria;Slovenia;90;FP7
585;Latvia;Slovenia;50;FP7
586;Cyprus;Slovenia;59;FP7
587;Romania;Slovenia;116;FP7
588;Malta;Slovenia;27;FP7
589;Lithuania;Slovenia;57;FP7
590;Luxembourg;Slovenia;27;FP7
591;Croatia;Slovenia;74;FP7
592;Austria;Belgium;760;FP7
593;Austria;Czech Republic;322;FP7
594;Belgium;Czech Republic;425;FP7
595;Bulgaria;Czech Republic;113;FP7
596;Cyprus;Czech Republic;67;FP7
597;Croatia;Czech Republic;50;FP7
598;Germany;Poland;1138;FP7
599;Austria;Poland;410;FP7
600;France;Poland;888;FP7
601;Greece;Poland;426;FP7
602;Italy;Poland;928;FP7
603;Finland;Poland;353;FP7
604;Netherlands;Poland;714;FP7
605;Ireland;Poland;224;FP7
606;Czech Republic;Poland;277;FP7
607;Denmark;Poland;308;FP7
608;Belgium;Poland;596;FP7
609;Estonia;Poland;122;FP7
610;Hungary;Poland;268;FP7
611;Bulgaria;Poland;153;FP7
612;Latvia;Poland;86;FP7
613;Cyprus;Poland;91;FP7
614;Malta;Poland;56;FP7
615;Lithuania;Poland;107;FP7
616;Luxembourg;Poland;51;FP7
617;Croatia;Poland;85;FP7
618;Germany;Slovakia;267;FP7
619;Portugal;Slovakia;80;FP7
620;Austria;Slovakia;127;FP7
621;France;Slovakia;208;FP7
622;Greece;Slovakia;117;FP7
623;Italy;Slovakia;218;FP7
624;Finland;Slovakia;92;FP7
625;Netherlands;Slovakia;167;FP7
626;Ireland;Slovakia;68;FP7
627;Czech Republic;Slovakia;105;FP7
628;Denmark;Slovakia;85;FP7
629;Belgium;Slovakia;149;FP7
630;Estonia;Slovakia;47;FP7
631;Poland;Slovakia;112;FP7
632;Hungary;Slovakia;111;FP7
633;Bulgaria;Slovakia;64;FP7
634;Latvia;Slovakia;38;FP7
635;Cyprus;Slovakia;35;FP7
636;Romania;Slovakia;94;FP7
637;Malta;Slovakia;30;FP7
638;Lithuania;Slovakia;45;FP7
639;Luxembourg;Slovakia;22;FP7
640;Croatia;Slovakia;35;FP7
641;Germany;Hungary;774;FP7
642;Austria;Hungary;310;FP7
643;France;Hungary;585;FP7
644;Greece;Hungary;275;FP7
645;Finland;Hungary;237;FP7
646;Czech Republic;Hungary;193;FP7
647;Denmark;Hungary;214;FP7
648;Belgium;Hungary;447;FP7
649;Estonia;Hungary;94;FP7
650;Bulgaria;Hungary;120;FP7
651;Cyprus;Hungary;56;FP7
652;Croatia;Hungary;69;FP7
653;Austria;Bulgaria;158;FP7
654;Belgium;Bulgaria;199;FP7
655;Germany;Latvia;158;FP7
