sectperf	unit	geo	time	values
BES	PC_GDP	PT	2015-01-01	0.6
BES	PC_GDP	RO	2015-01-01	0.21
BES	PC_GDP	RU	2015-01-01	0.67
BES	PC_GDP	SE	2015-01-01	2.27
BES	PC_GDP	SI	2015-01-01	1.69
BES	PC_GDP	SK	2015-01-01	0.33
BES	PC_GDP	UK	2015-01-01	1.12
BES	PPS_HAB_KP05	AT	2015-01-01	681
BES	PPS_HAB_KP05	BE	2015-01-01	511
BES	PPS_HAB_KP05	BG	2015-01-01	82.1
BES	PPS_HAB_KP05	CY	2015-01-01	15.7
BES	PPS_HAB_KP05	CZ	2015-01-01	232.9
BES	PPS_HAB_KP05	DE	2015-01-01	612.6
BES	PPS_HAB_KP05	DK	2015-01-01	527.4
BES	PPS_HAB_KP05	EA19	2015-01-01	348.6
BES	PPS_HAB_KP05	EE	2015-01-01	114.3
BES	PPS_HAB_KP05	EL	2015-01-01	55.2
BES	PPS_HAB_KP05	ES	2015-01-01	146.6
BES	PPS_HAB_KP05	EU28	2015-01-01	313.4
BES	PPS_HAB_KP05	FI	2015-01-01	517.7
BES	PPS_HAB_KP05	FR	2015-01-01	382.4
BES	PPS_HAB_KP05	HR	2015-01-01	59.8
BES	PPS_HAB_KP05	HU	2015-01-01	162.9
BES	PPS_HAB_KP05	IS	2015-01-01	468
BES	PPS_HAB_KP05	IT	2015-01-01	166.1
BES	PPS_HAB_KP05	LT	2015-01-01	49.6
BES	PPS_HAB_KP05	LU	2015-01-01	398.6
BES	PPS_HAB_KP05	LV	2015-01-01	24.1
BES	PPS_HAB_KP05	MT	2015-01-01	87.6
BES	PPS_HAB_KP05	NL	2015-01-01	373.2
BES	PPS_HAB_KP05	NO	2015-01-01	431.8
BES	PPS_HAB_KP05	PL	2015-01-01	80
BES	PPS_HAB_KP05	PT	2015-01-01	110.6
BES	PPS_HAB_KP05	RO	2015-01-01	24
BES	PPS_HAB_KP05	RU	2015-01-01	120
BES	PPS_HAB_KP05	SE	2015-01-01	724.9
BES	PPS_HAB_KP05	SI	2015-01-01	364.1
BES	PPS_HAB_KP05	SK	2015-01-01	64.6
BES	PPS_HAB_KP05	UK	2015-01-01	352.3
GOV	EUR_HAB	AT	2015-01-01	54.1
GOV	EUR_HAB	BE	2015-01-01	69.5
GOV	EUR_HAB	BG	2015-01-01	12.5
GOV	EUR_HAB	CH	2015-01-01	22
GOV	EUR_HAB	CY	2015-01-01	12.9
GOV	EUR_HAB	CZ	2015-01-01	62.9
GOV	EUR_HAB	DE	2015-01-01	160.1
GOV	EUR_HAB	DK	2015-01-01	32.1
GOV	EUR_HAB	EA19	2015-01-01	87.7
GOV	EUR_HAB	EE	2015-01-01	24.9
GOV	EUR_HAB	EL	2015-01-01	42.9
GOV	EUR_HAB	ES	2015-01-01	54.3
GOV	EUR_HAB	EU28	2015-01-01	70.3
